IPEDS_ID,Year,NCAA_Subdivision,FBS_Conference,Total_Expenses,Excess_Transfers_Back,Other_Expenses,Medical,Competition_Guarantees,Recruiting,Game_Expenses_and_Travel,Facilities_and_Equipment,Coaches_Compensation,Support_and_Admin_Compensation_w_Severance,Athletic_Student_Aid,Total_Revenues,Other_Revenue,Corporate_Sponsorship__Advertising__Licensing,Donor_Contributions,Competition_Guarantees.1,NCAA_Conference_Distributions__Media_Rights__and_Post_Season_Football,Ticket_Sales,Institutional_Government_Support,Student_Fees,Total_Academic_Spending__University_Wide_,Total_Football_Spending,Total_Football_Coaching_Salaries,Athletics_Related_Debt,Annual_Debt_Service__Leases_and_Rental_Fees_on_Athletic_Facilities
232982,2017,Football Bowl Subdivision,Conference USA,46181753.0,0.0,3143949.0,375093.0,421117.0,726739.0,5030006.0,13466124.0,7109643.0,6475149.0,9433933.0,46203813.0,825903.0,1599957.0,5693628.0,929000.0,4947369.0,3526444.0,0.0,28681512.0,354180985.0,10391676.0,2249638.0,50980195.0,4379683.0
209542,2017,Football Bowl Subdivision,Pacific-12 Conference,82730626.0,0.0,14212250.0,695842.0,1566084.0,1535651.0,7253478.0,21277901.0,15224305.0,10762844.0,10202271.0,78959875.0,5561288.0,8884197.0,9785111.0,470000.0,33785541.0,13346970.0,4453200.0,2673568.0,823312134.0,16354488.0,5978927.0,73309754.0,7535127.0
214777,2017,Football Bowl Subdivision,Big Ten Conference,138724055.0,0.0,13657695.0,2150521.0,2418276.0,2464121.0,17947008.0,29108233.0,25458059.0,25435405.0,20084737.0,144017055.0,23306271.0,13772177.0,30779975.0,300000.0,40357928.0,35500704.0,0.0,0.0,3164350000.0,39791466.0,11426104.0,60455231.0,3835917.0
243780,2017,Football Bowl Subdivision,Big Ten Conference,87209495.0,1500000.0,9960623.0,1109735.0,2054817.0,1544913.0,8027403.0,16390826.0,16105191.0,19292469.0,11223518.0,84841133.0,7141375.0,6413658.0,21679168.0,125000.0,40259741.0,9222191.0,0.0,0.0,1579236429.0,26680356.0,6984009.0,208190000.0,5642697.0
186380,2017,Football Bowl Subdivision,Big Ten Conference,99193280.0,0.0,7708879.0,1895558.0,1941500.0,1694126.0,10835103.0,21502002.0,16663015.0,22946479.0,14006618.0,96883027.0,19106168.0,5664841.0,8125201.0,422500.0,17652638.0,12824201.0,21320750.0,11766728.0,2275655000.0,27702376.0,6096416.0,82870000.0,5665000.0
122409,2017,Football Bowl Subdivision,Mountain West Conference,51569852.0,0.0,7068736.0,819877.0,886076.0,596713.0,5611579.0,7707772.0,10600147.0,9704639.0,8574313.0,52454787.0,1710334.0,5422091.0,8826053.0,651500.0,5712785.0,5809058.0,13238377.0,11084589.0,461883945.0,14635173.0,3784000.0,514025.0,113525.0
122755,2017,Football Bowl Subdivision,Mountain West Conference,30676330.0,0.0,2373368.0,646232.0,732050.0,338175.0,4023881.0,2044019.0,7411201.0,5502858.0,7604546.0,31252553.0,978389.0,564239.0,2423340.0,1286750.0,4142420.0,846364.0,12611961.0,8399090.0,423728185.0,8228106.0,2613494.0,0.0,0.0
228723,2017,Football Bowl Subdivision,Southeastern Conference,146546229.0,0.0,19741879.0,844023.0,4000617.0,2665281.0,15021427.0,48368784.0,24691747.0,20306078.0,10906393.0,211960034.0,8370291.0,19035380.0,93134590.0,584204.0,43377031.0,47458538.0,0.0,0.0,2565020842.0,31078111.0,10870661.0,307576015.0,23930371.0
228459,2017,Football Bowl Subdivision,Sun Belt Conference,35915260.0,0.0,4557026.0,325348.0,227240.0,432276.0,3242791.0,12639539.0,8964524.0,83596.0,5442920.0,38445832.0,1464634.0,1191498.0,2760011.0,1637000.0,2462246.0,1143290.0,9606394.0,18180759.0,510239128.0,7456765.0,2673820.0,65797629.0,5812150.0
229115,2017,Football Bowl Subdivision,Big 12 Conference,86984083.0,0.0,7668046.0,1274014.0,2297557.0,1822691.0,9097572.0,26372340.0,14942451.0,16197713.0,7311699.0,88804476.0,3251449.0,11602038.0,25692336.0,407500.0,30080836.0,11970439.0,2528505.0,3271373.0,702641522.0,29439461.0,6903385.0,113396530.0,11427389.0
204796,2017,Football Bowl Subdivision,Big Ten Conference,175743681.0,2236246.0,15720859.0,1478316.0,2965483.0,2196532.0,20149442.0,46274671.0,31837126.0,32813630.0,20071376.0,185409602.0,22941249.0,19961108.0,37612937.0,625000.0,42708957.0,61560351.0,0.0,0.0,2616432442.0,38520914.0,13507199.0,177771859.0,13264294.0
100751,2017,Football Bowl Subdivision,Southeastern Conference,158646962.0,0.0,17991240.0,2977571.0,4044067.0,2669781.0,21896184.0,32854906.0,30643832.0,28264915.0,17304466.0,174307419.0,20450825.0,12005546.0,33011723.0,6539500.0,61718210.0,37642667.0,2938948.0,0.0,830338864.0,62252391.0,18943029.0,212688989.0,14954536.0
221759,2017,Football Bowl Subdivision,Southeastern Conference,134880229.0,0.0,17001631.0,1505355.0,3277894.0,2756295.0,13357277.0,38108707.0,20832053.0,24084657.0,13956360.0,145653191.0,8627845.0,14902218.0,35428068.0,4350000.0,45563336.0,36781724.0,0.0,0.0,1050981570.0,51295405.0,9992513.0,137665022.0,19851117.0
228778,2017,Football Bowl Subdivision,Big 12 Conference,217363094.0,10340771.0,30727917.0,1764738.0,2249042.0,2285024.0,37156578.0,46443506.0,24632746.0,48995281.0,12767491.0,214830647.0,17525923.0,45919839.0,46019194.0,817000.0,32091475.0,72457216.0,0.0,0.0,2309574020.0,41173727.0,11075865.0,200154000.0,18329365.0
228796,2017,Football Bowl Subdivision,Conference USA,32039189.0,0.0,2972039.0,983543.0,953605.0,630694.0,4222709.0,4721661.0,5809119.0,3873025.0,7872794.0,31781343.0,1092905.0,2276125.0,4060347.0,1012000.0,2760987.0,2092975.0,11060015.0,7425989.0,377963598.0,10825557.0,2199927.0,13015000.0,1556580.0
229027,2017,Football Bowl Subdivision,Conference USA,30104385.0,0.0,2243262.0,457903.0,845159.0,656261.0,5267826.0,4915202.0,5583500.0,4296522.0,5838750.0,28772631.0,985357.0,2095938.0,1765092.0,1077100.0,3464428.0,1998788.0,5162130.0,12223798.0,460147019.0,10699660.0,2355093.0,2092257.0,278417.0
102368,2017,Football Bowl Subdivision,Sun Belt Conference,29962107.0,0.0,2847159.0,253905.0,600000.0,310548.0,2154300.0,10127381.0,5592806.0,2295641.0,5780367.0,29962107.0,143594.0,341610.0,2568378.0,1839000.0,2299080.0,1058810.0,20568725.0,1142910.0,244633654.0,8267751.0,2895638.0,0.0,0.0
128328,2017,Football Bowl Subdivision,Mountain West Conference,50112617.0,0.0,5089442.0,330682.0,935717.0,1486438.0,7151569.0,6684056.0,11394482.0,17040231.0,0.0,59577780.0,5953973.0,3196981.0,8705370.0,63000.0,4776486.0,3542723.0,32952522.0,386725.0,477510012.0,10350723.0,4360689.0,37540.0,0.0
197036,2017,Football Bowl Subdivision,Independent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367518848.0,0.0,0.0,0.0,0.0
196088,2017,Football Bowl Subdivision,Mid-American Conference,35883884.0,0.0,5014136.0,382918.0,631504.0,606328.0,3733093.0,5983294.0,4565816.0,5548182.0,9418613.0,35892221.0,923909.0,925352.0,1953470.0,1242500.0,4152785.0,1065783.0,16646496.0,8981926.0,1031957420.0,7796405.0,1486099.0,0.0,0.0
